bus_id,bus,vmin_pu,vmax_pu
181,9739976,1.0071164214329371,1.0101949311100837
27,13457819,1.0071164214329371,1.0101949311100837
51,10792061,1.0071399243508314,1.0102120561958852
49,16521466,1.0071399243508314,1.0102120561958852
116,13454743,1.0071399243508314,1.0102120561958852
250,13485979,1.0071500704904337,1.010217424042448
209,13725341,1.0071500704904337,1.010217424042448
179,13435074,1.0071517954821116,1.010217424042448
77,13454739,1.0071892457656118,1.010217424042448
47,13691477,1.0072326520445942,1.0101937223569244
202,12848124,1.007233037154157,1.010217424042448
215,12208987,1.0072538777249738,1.0101937223569244
66,12807627,1.0072611034439705,1.0101937223569244
68,12970256,1.0072653539420668,1.0101937223569244
112,12934939,1.007299178601713,1.0101937223569244
120,12934917,1.007299178601713,1.0101937223569244
12,9854615,1.007301886920424,1.0101937223569244
67,12810038,1.007301886920424,1.0101937223569244
73,11083673,1.007303629497694,1.010217424042448
107,13435072,1.007315652615546,1.010217424042448
65,12934941,1.0073202991293702,1.0101937223569244
48,14746712,1.0073221604668532,1.010217424042448
200,12934942,1.0073519333109398,1.0101937223569244
220,9783457,1.0073519333109398,1.0101937223569244
249,9739977,1.007365823369278,1.010217424042448
2,13457817,1.007365823369278,1.010217424042448
232,12959079,1.007372529788924,1.0101937223569244
