branch_id,f_bus,t_bus,s_from,rate,loading_pct
84,200,232,1.0001401402796394e-5,,
7,71,219,1.0001366885650828e-5,,
131,127,211,1.0001303515050154e-5,,
203,94,193,1.0001290910529806e-5,,
213,102,148,1.0001272710720267e-5,,
126,25,119,1.0001261782291602e-5,,
170,241,113,1.0001258887879975e-5,,
182,125,76,1.0001244023606965e-5,,
34,235,121,1.0001233702164542e-5,,
71,84,46,1.0001207861631458e-5,,
27,148,21,1.0001183933221308e-5,,
194,93,134,1.0001177820071508e-5,,
22,143,206,1.0001173911419406e-5,,
72,213,165,1.0001171379537651e-5,,
92,262,7,1.000114594541637e-5,,
220,116,49,1.0001099597919896e-5,,
176,251,31,1.0001093008778388e-5,,
137,65,200,1.0001087320477126e-5,,
212,121,184,1.0001082233517513e-5,,
76,56,208,1.0001021100844096e-5,,
86,38,74,1.0001003402300957e-5,,
216,247,87,1.0000915918552607e-5,,
262,259,117,1.0000913887254325e-5,,
136,14,15,1.0000905516384932e-5,,
231,68,215,1.0000863303001598e-5,,
94,175,133,1.0000835508276508e-5,,
135,234,72,1.0000827272600694e-5,,
185,107,202,1.000082022191828e-5,,
46,77,228,1.0000807387155782e-5,,
153,244,91,1.0000799560753671e-5,,
217,208,35,1.0000788197227364e-5,,
3,16,111,1.0000778426906127e-5,,
177,49,51,1.000077583293165e-5,,
138,197,75,1.0000712077057613e-5,,
119,41,56,1.0000710965878602e-5,,
12,216,3,1.0000692743479008e-5,,
61,67,65,1.00006873771982e-5,,
243,112,47,1.0000660488487778e-5,,
109,112,67,1.0000660488487778e-5,,
204,103,115,1.000065934200473e-5,,
43,103,41,1.000065934200473e-5,,
184,211,141,1.0000647174082485e-5,,
97,64,256,1.0000641365547523e-5,,
128,42,185,1.0000634959438148e-5,,
25,175,118,1.0000632836281373e-5,,
19,11,156,1.0000621238083534e-5,,
125,184,226,1.000062079104956e-5,,
26,6,96,1.0000619073898045e-5,,
124,6,71,1.0000619073898045e-5,,
197,103,80,1.0000598524490904e-5,,
35,110,199,1.0000589656699686e-5,,
180,86,9,1.0000588267511664e-5,,
