bus,vA,vB,vC,vmin,vmax
12156592,252.03605908083787,248.69784192715085,249.36122096127838,248.69784192715085,252.03605908083787
9356220,252.0450201858102,248.69784192715085,249.36122096127838,248.69784192715085,252.0450201858102
16521466,252.4040663373043,248.6990765844244,249.3028138875464,248.6990765844244,252.4040663373043
10792061,252.38756319457906,248.6990765844244,249.3028138875464,248.6990765844244,252.38756319457906
13454743,252.41095330920004,248.6990765844244,249.3028138875464,248.6990765844244,252.41095330920004
13435074,252.4114444373384,248.70161129950108,249.30396610392168,248.70161129950108,252.4114444373384
11068336,252.21564734620236,248.71444506728992,249.32361889944266,248.71444506728992,252.21564734620236
13485937,252.08545024234328,248.71881961389087,249.30396610392168,248.71881961389087,252.08545024234328
12817081,252.05513322314798,248.71881961389087,249.30396610392168,248.71881961389087,252.05513322314798
12807627,252.37365487932937,248.72502447020753,249.29895322480704,248.72502447020753,252.37365487932937
12970256,252.37337266993924,248.72593614710868,249.29895322480704,248.72593614710868,252.37337266993924
12208987,252.35501215448465,248.72593614710868,249.29895322480704,248.72593614710868,252.35501215448465
12327065,252.21363508086233,248.72692413324916,249.30396610392168,248.72692413324916,252.21363508086233
13485975,252.11433347061384,248.72781234308565,249.30396610392168,248.72781234308565,252.11433347061384
9638199,252.11433347061384,248.72781234308565,249.30396610392168,248.72781234308565,252.11433347061384
11083673,252.42942506082457,248.73413764901647,249.30396610392168,248.73413764901647,252.42942506082457
9854615,252.36514920302517,248.73770590183884,249.29895322480704,248.73770590183884,252.36514920302517
13691477,252.35053059147498,248.73770590183884,249.29895322480704,248.73770590183884,252.35053059147498
12934941,252.37365487932937,248.73770590183884,249.29895322480704,248.73770590183884,252.37365487932937
12810038,252.36514920302517,248.73770590183884,249.29895322480704,248.73770590183884,252.36514920302517
12934939,252.36457735482819,248.73770590183884,249.29895322480704,248.73770590183884,252.36457735482819
12934917,252.36457735482819,248.73770590183884,249.29895322480704,248.73770590183884,252.36457735482819
12959365,252.21564734620236,248.73802915945654,249.32361889944266,248.73802915945654,252.21564734620236
14746712,252.42942506082457,248.7381075411493,249.30396610392168,248.7381075411493,252.42942506082457
12934942,252.38033452428428,248.74448285475486,249.29895322480704,248.74448285475486,252.38033452428428
9783457,252.38033452428428,248.74448285475486,249.29895322480704,248.74448285475486,252.38033452428428
12959079,252.38468352352785,248.74889521015052,249.29895322480704,248.74889521015052,252.38468352352785
14711418,252.43474829329222,248.75431383333222,249.30396610392168,248.75431383333222,252.43474829329222
13485976,252.21363508086233,248.75872860917525,249.30396610392168,248.75872860917525,252.21363508086233
12970259,252.39511141936106,248.7647686395984,249.29895322480704,248.7647686395984,252.39511141936106
13725341,252.33341123156518,248.77309735068096,249.30396610392168,248.77309735068096,252.33341123156518
13454733,252.4414516370803,248.77472188859855,249.30396610392168,248.77472188859855,252.4414516370803
9739753,252.4414516370803,248.77472188859855,249.30396610392168,248.77472188859855,252.4414516370803
13485978,252.2988528053032,248.79188357537612,249.30396610392168,248.79188357537612,252.2988528053032
17855762,252.41315228719247,248.79223019714087,249.29895322480704,248.79223019714087,252.41315228719247
9365422,252.4133730869389,248.79299410063746,249.29925378671064,248.79299410063746,252.4133730869389
12970260,252.41343595393477,248.7932116011406,249.29933936338116,248.7932116011406,252.41343595393477
17855761,252.320256193732,248.7951093965222,249.3161702178378,248.7951093965222,252.320256193732
11650907,252.29492162916796,248.7957237616092,249.3160907049213,248.7957237616092,252.29492162916796
12961574,252.32137048330924,248.7957237616092,249.3160907049213,248.7957237616092,252.32137048330924
12970262,252.41856714509385,248.80102236678863,249.29933936338116,248.80102236678863,252.41856714509385
9783459,252.41856714509385,248.80102236678863,249.29933936338116,248.80102236678863,252.41856714509385
12934915,252.41856714509385,248.80102236678863,249.29933936338116,248.80102236678863,252.41856714509385
13485979,252.33341123156518,248.80532855734884,249.30396610392168,248.80532855734884,252.33341123156518
13691475,252.4160995691783,248.8269281631483,249.29933936338116,248.8269281631483,252.4160995691783
12970263,252.43558557381502,248.8269281631483,249.29933936338116,248.8269281631483,252.43558557381502
13601756,252.467627635723,248.83510263026406,249.30396610392168,248.83510263026406,252.467627635723
9739755,252.46357278240663,248.84206951278807,249.30396610392168,248.84206951278807,252.46357278240663
14710399,252.46357278240663,248.84206951278807,249.30396610392168,248.84206951278807,252.46357278240663
13454745,252.46357278240663,248.84206951278807,249.30396610392168,248.84206951278807,252.46357278240663
12970284,252.45926034357612,248.8509560758645,249.29933936338116,248.8509560758645,252.45926034357612
13601751,252.44712287252887,248.8509560758645,249.29933936338116,248.8509560758645,252.44712287252887
13485981,252.467627635723,248.86797459444583,249.30396610392168,248.86797459444583,252.467627635723
12185636,252.49313069086696,248.86984983853648,249.30544037228196,248.86984983853648,252.49313069086696
9290700,252.47299699402168,248.87076176688666,249.30396610392168,248.87076176688666,252.47299699402168
9760720,252.4787011223537,248.87400335192558,249.30396610392168,248.87400335192558,252.4787011223537
13485982,252.4787011223537,248.87400335192558,249.30396610392168,248.87400335192558,252.4787011223537
13457817,252.37868291169326,248.8768003828228,249.30396610392168,248.8768003828228,252.37868291169326
13454780,252.32360749668484,248.8768003828228,249.30396610392168,248.8768003828228,252.32360749668484
9739760,252.31043178070428,248.8768003828228,249.30396610392168,248.8768003828228,252.31043178070428
13507545,252.28526174641217,248.8768003828228,249.30396610392168,248.8768003828228,252.28526174641217
9290699,252.4722082895047,248.8768003828228,249.30396610392168,248.8768003828228,252.4722082895047
13454765,252.46785051111655,248.8768003828228,249.30396610392168,248.8768003828228,252.46785051111655
13728130,252.3070564307012,248.8768003828228,249.30396610392168,248.8768003828228,252.3070564307012
13454739,252.34140074661022,248.8768003828228,249.30396610392168,248.8768003828228,252.34140074661022
9290702,252.38819610533346,248.8768003828228,249.30396610392168,248.8768003828228,252.38819610533346
14756890,252.3123191601387,248.8768003828228,249.30396610392168,248.8768003828228,252.3123191601387
13435072,252.3680899264598,248.8768003828228,249.30396610392168,248.8768003828228,252.3680899264598
14587801,252.31723021679764,248.8768003828228,249.30396610392168,248.8768003828228,252.31723021679764
9739974,252.3123191601387,248.8768003828228,249.30396610392168,248.8768003828228,252.3123191601387
9290703,252.41662263641038,248.8768003828228,249.30396610392168,248.8768003828228,252.41662263641038
14746710,252.31043178070428,248.8768003828228,249.30396610392168,248.8768003828228,252.31043178070428
17655571,252.41075704803671,248.8768003828228,249.30396610392168,248.8768003828228,252.41075704803671
13454737,252.31043178070428,248.8768003828228,249.30396610392168,248.8768003828228,252.31043178070428
9404445,252.31043178070428,248.8768003828228,249.30396610392168,248.8768003828228,252.31043178070428
9739756,252.31043178070428,248.8768003828228,249.30396610392168,248.8768003828228,252.31043178070428
12848124,252.35064606889046,248.8768003828228,249.30396610392168,248.8768003828228,252.35064606889046
12317603,252.32423231717064,248.8768003828228,249.30396610392168,248.8768003828228,252.32423231717064
17655572,252.47498041989553,248.8768003828228,249.30396610392168,248.8768003828228,252.47498041989553
9739977,252.37868291169326,248.8768003828228,249.30396610392168,248.8768003828228,252.37868291169326
14746713,252.31043178070428,248.8768003828228,249.30396610392168,248.8768003828228,252.31043178070428
14711422,252.31043178070428,248.8768003828228,249.30396610392168,248.8768003828228,252.31043178070428
11910744,252.47552494562203,248.87801743743861,249.30544037228196,248.87801743743861,252.47552494562203
12962393,252.49313069086696,248.87801743743861,249.30544037228196,248.87801743743861,252.49313069086696
13691505,252.49655845235742,248.87937884953737,249.29954732104815,248.87937884953737,252.49655845235742
12968592,252.49750785430183,248.88007195338145,249.29933936338116,248.88007195338145,252.49750785430183
9783455,252.51413877463642,248.8891884982992,249.3042978019854,248.8891884982992,252.51413877463642
12962925,252.51413877463642,248.8891884982992,249.3042978019854,248.8891884982992,252.51413877463642
9290701,252.50318018087052,248.8939669461322,249.30396610392168,248.8939669461322,252.50318018087052
13357784,252.51382593753016,248.90519668538434,249.29933936338116,248.90519668538434,252.51382593753016
12969125,252.53876007667623,248.90519668538434,249.29933936338116,248.90519668538434,252.53876007667623
9783456,252.54625441415564,248.90900066096034,249.29933936338116,248.90900066096034,252.54625441415564
12969818,252.54625441415564,248.90900066096034,249.29933936338116,248.90900066096034,252.54625441415564
13355047,252.5539041930895,248.9287144452728,249.30396610392168,248.9287144452728,252.5539041930895
13435075,252.5602600711045,248.9287144452728,249.30396610392168,248.9287144452728,252.5602600711045
12936055,252.6158162181493,248.94325555443018,249.29876806988895,248.94325555443018,252.6158162181493
13691508,252.5771864352284,248.94397561030837,249.30396610392168,248.94397561030837,252.5771864352284
13486010,252.607227733063,248.94397561030837,249.30396610392168,248.94397561030837,252.607227733063
12936053,252.6232050194982,248.94805861308006,249.29933936338116,248.94805861308006,252.6232050194982
9402918,252.6261046205093,248.94957061686432,249.2999125168182,248.94957061686432,252.6261046205093
9402916,252.62661349086392,248.95003023322153,249.2998312829809,248.95003023322153,252.62661349086392
13435077,252.60252459051594,248.95015820558405,249.30396610392168,248.95015820558405,252.60252459051594
